eval_id,learner_id,audience,group,level,role,organization,pronouns,sexuality,ethnicity,registration_id,offering_id,learning_product,module,date_stamp,current_skill,desired_skill,final_skill,recommend,rating,clear,entertaining,relevant,informative,useful,inclusive,easy,difficult,long,short,lo_1,lo_2
70001,1,Leader,EC,6,Research,CSPS,NoAnswer,Heterosexual,NoAnswer,1,778,I501,101,2020-06-00,2,4,2,true,7,true,false,false,false,false,false,false,false,false,false,Meet,NotMeet
70001,1,Leader,EC,6,Research,CSPS,NoAnswer,Heterosexual,NoAnswer,1,778,I501,102,2020-06-00,2,4,3,true,6,false,false,false,false,false,false,false,false,false,false,Exceeded,Meet
70002,2,Specialist,PE,1,Finance,CSPS,HeHim,Heterosexual,Caucasian,2,778,I501,101,2020-06-00,4,6,4,false,3,false,false,false,false,false,false,false,false,false,false,Meet,NotMeet
70002,2,Specialist,PE,1,Finance,CSPS,HeHim,Heterosexual,Caucasian,2,778,I501,102,2020-06-00,4,6,4,true,6,true,false,false,false,false,false,false,false,false,false,Meet,Meet
70003,3,Specialist,IS,1,Regulatory,DFO,HeHim,Heterosexual,Asian,3,778,I501,101,2020-06-00,3,5,3,true,6,true,true,true,false,true,true,false,false,false,false,Meet,Exceeded
70003,3,Specialist,IS,1,Regulatory,DFO,HeHim,Heterosexual,Asian,3,778,I501,102,2020-06-00,3,5,4,true,9,false,false,true,true,false,true,false,false,false,false,Exceeded,NotMeet
70004,4,Specialist,CR,4,HumanResources,PSPC,NoAnswer,Heterosexual,Caucasian,4,778,I501,101,2020-06-00,5,7,5,true,9,false,true,true,false,false,false,false,false,false,false,Exceeded,NotMeet
70004,4,Specialist,CR,4,HumanResources,PSPC,NoAnswer,Heterosexual,Caucasian,4,778,I501,102,2020-06-00,5,7,6,false,3,false,false,true,false,true,true,false,false,false,false,Meet,Exceeded
70005,5,Specialist,LotsMore,3,Operations,PSPC,NoAnswer,NoAnswer,Maui,5,778,I501,101,2020-06-00,3,5,3,true,9,true,false,false,false,false,true,false,false,false,false,Exceeded,Exceeded
70005,5,Specialist,LotsMore,3,Operations,PSPC,NoAnswer,NoAnswer,Maui,5,778,I501,102,2020-06-00,3,5,4,true,9,true,true,true,false,true,false,false,false,false,false,Exceeded,Meet
70006,6,SeniorLeader,PM,2,Regulatory,TBS,NoAnswer,Homosexual,NoAnswer,6,778,I501,101,2020-06-00,5,7,5,true,6,true,true,false,true,true,true,false,false,false,false,Meet,Exceeded
70006,6,SeniorLeader,PM,2,Regulatory,TBS,NoAnswer,Homosexual,NoAnswer,6,778,I501,102,2020-06-00,5,7,6,true,8,true,false,true,false,true,true,false,false,false,false,NotMeet,Exceeded
70007,7,Leader,EC,3,Operations,CBSA,NoAnswer,Heterosexual,Caucasian,7,778,I501,101,2020-06-00,6,8,6,true,7,true,true,false,false,false,false,false,false,false,false,Exceeded,Exceeded
70007,7,Leader,EC,3,Operations,CBSA,NoAnswer,Heterosexual,Caucasian,7,778,I501,102,2020-06-00,6,8,7,true,6,false,false,true,false,false,true,false,false,false,false,NotMeet,Meet
70008,8,Specialist,PE,3,Policy,TC,HeHim,Heterosexual,Caucasian,8,778,I501,101,2020-06-00,2,4,3,true,10,true,false,true,false,false,false,false,false,false,false,NotMeet,Exceeded
70008,8,Specialist,PE,3,Policy,TC,HeHim,Heterosexual,Caucasian,8,778,I501,102,2020-06-00,2,4,3,true,7,false,false,true,true,false,true,false,false,false,false,NotMeet,Meet
70009,9,Specialist,PM,5,Regulatory,CSPS,SheHer,Homosexual,Caucasian,9,778,I501,101,2020-06-00,5,7,5,true,6,false,false,false,false,false,true,false,false,false,false,NotMeet,NotMeet
70009,9,Specialist,PM,5,Regulatory,CSPS,SheHer,Homosexual,Caucasian,9,778,I501,102,2020-06-00,5,7,6,true,7,false,false,true,true,false,false,false,false,false,false,Exceeded,Meet
70010,10,SeniorLeader,CR,5,Regulatory,DFO,NoAnswer,Bisexual,Asian,10,778,I501,101,2020-06-00,6,8,6,true,9,true,false,true,false,false,true,false,false,false,false,Exceeded,NotMeet
70010,10,SeniorLeader,CR,5,Regulatory,DFO,NoAnswer,Bisexual,Asian,10,778,I501,102,2020-06-00,6,8,7,false,3,true,false,true,false,true,true,false,false,false,false,Exceeded,Meet
70011,11,SeniorLeader,PM,1,ComputerScience,DFO,HeHim,NoAnswer,Caucasian,11,778,I501,101,2020-06-00,4,6,4,true,6,false,true,false,false,false,false,false,false,false,false,Exceeded,NotMeet
70011,11,SeniorLeader,PM,1,ComputerScience,DFO,HeHim,NoAnswer,Caucasian,11,778,I501,102,2020-06-00,4,6,5,true,7,false,true,true,true,false,false,false,false,false,false,Exceeded,Exceeded
70012,12,SeniorLeader,AS,4,HumanResources,TC,NoAnswer,Bisexual,Caucasian,12,778,I501,101,2020-06-00,1,3,1,true,8,false,true,false,false,false,false,false,false,false,false,Exceeded,NotMeet
70012,12,SeniorLeader,AS,4,HumanResources,TC,NoAnswer,Bisexual,Caucasian,12,778,I501,102,2020-06-00,1,3,2,true,8,false,false,false,false,true,false,false,false,false,false,Exceeded,NotMeet
70013,13,Manager,FB,1,All,FIN,HeHim,Heterosexual,Black,13,778,I501,101,2020-06-00,1,3,1,false,3,false,false,false,true,false,false,false,false,false,false,Exceeded,Exceeded
70013,13,Manager,FB,1,All,FIN,HeHim,Heterosexual,Black,13,778,I501,102,2020-06-00,1,3,1,false,3,false,false,false,false,false,false,false,false,false,false,NotMeet,Meet
70014,14,Employee,AS,3,Research,IRCC,TheyThem,Homosexual,Asian,14,778,I501,101,2020-06-00,4,6,4,false,4,true,true,false,false,false,false,false,false,false,false,Exceeded,NotMeet
70014,14,Employee,AS,3,Research,IRCC,TheyThem,Homosexual,Asian,14,778,I501,102,2020-06-00,4,6,4,false,5,false,false,false,false,true,false,false,false,false,false,Exceeded,NotMeet
70015,15,Specialist,LotsMore,4,Administrative,ESDC,SheHer,Heterosexual,Maui,15,778,I501,101,2020-06-00,1,3,2,true,10,false,true,true,false,false,false,false,false,false,false,Meet,NotMeet
70015,15,Specialist,LotsMore,4,Administrative,ESDC,SheHer,Heterosexual,Maui,15,778,I501,102,2020-06-00,1,3,2,true,8,true,false,false,true,false,false,false,false,false,false,NotMeet,Exceeded
70016,16,Manager,FB,1,Security,IRCC,SheHer,Homosexual,Maui,16,778,I501,101,2020-06-00,8,10,8,false,3,false,false,false,false,false,false,false,false,false,false,NotMeet,NotMeet
70016,16,Manager,FB,1,Security,IRCC,SheHer,Homosexual,Maui,16,778,I501,102,2020-06-00,8,10,8,false,5,false,false,false,false,false,false,false,false,false,false,NotMeet,NotMeet
70017,17,SeniorLeader,AS,4,Legal,CSPS,SheHer,Bisexual,NoAnswer,17,778,I501,101,2020-06-00,1,3,1,false,4,false,false,false,false,false,false,false,false,false,false,NotMeet,Meet
70017,17,SeniorLeader,AS,4,Legal,CSPS,SheHer,Bisexual,NoAnswer,17,778,I501,102,2020-06-00,1,3,1,false,3,false,false,false,false,false,false,false,false,false,false,NotMeet,Meet
70018,18,Leader,PE,1,HumanResources,IRCC,HeHim,Homosexual,Caucasian,18,778,I501,101,2020-06-00,5,7,5,false,5,false,false,false,false,false,false,false,false,false,false,NotMeet,NotMeet
70018,18,Leader,PE,1,HumanResources,IRCC,HeHim,Homosexual,Caucasian,18,778,I501,102,2020-06-00,5,7,5,false,3,false,false,false,false,false,false,false,false,false,false,NotMeet,NotMeet
70019,19,Specialist,AS,3,Security,CBSA,TheyThem,Heterosexual,Asian,19,778,I501,101,2020-06-00,2,4,2,false,3,true,true,false,false,false,false,false,false,false,false,Exceeded,Exceeded
70019,19,Specialist,AS,3,Security,CBSA,TheyThem,Heterosexual,Asian,19,778,I501,102,2020-06-00,2,4,3,true,7,true,false,true,false,false,false,false,false,false,false,NotMeet,Exceeded
70020,20,Leader,IS,3,Research,IRCC,NoAnswer,Bisexual,Caucasian,20,778,I501,101,2020-06-00,1,3,1,false,3,false,false,false,true,false,false,false,false,false,false,Exceeded,NotMeet
70020,20,Leader,IS,3,Research,IRCC,NoAnswer,Bisexual,Caucasian,20,778,I501,102,2020-06-00,1,3,2,true,9,true,false,false,false,true,true,false,false,false,false,Exceeded,Exceeded
70021,21,Manager,CR,6,Security,PSPC,TheyThem,Bisexual,NoAnswer,21,778,I501,101,2020-06-00,2,4,2,false,5,false,true,false,true,false,true,false,false,false,false,Exceeded,NotMeet
70021,21,Manager,CR,6,Security,PSPC,TheyThem,Bisexual,NoAnswer,21,778,I501,102,2020-06-00,2,4,2,false,3,true,false,false,false,false,false,false,false,false,false,Exceeded,Exceeded
70022,22,Employee,EC,3,ComputerScience,FIN,TheyThem,Bisexual,Caucasian,22,778,I501,101,2020-06-00,4,6,4,true,8,true,false,true,false,false,true,false,false,false,false,Exceeded,Meet
70022,22,Employee,EC,3,ComputerScience,FIN,TheyThem,Bisexual,Caucasian,22,778,I501,102,2020-06-00,4,6,5,false,5,false,false,false,false,true,false,false,false,false,false,NotMeet,NotMeet
70023,23,Employee,EC,1,Audit,CBSA,SheHer,Heterosexual,Black,23,778,I501,101,2020-06-00,2,4,2,true,7,false,true,false,false,false,false,false,false,false,false,NotMeet,Exceeded
70023,23,Employee,EC,1,Audit,CBSA,SheHer,Heterosexual,Black,23,778,I501,102,2020-06-00,2,4,3,true,8,false,false,false,false,true,true,false,false,false,false,NotMeet,NotMeet
70024,24,Employee,AS,5,Administrative,CRA,HeHim,Bisexual,Caucasian,24,778,I501,101,2020-06-00,3,5,3,true,7,false,false,true,false,false,false,false,false,false,false,NotMeet,Meet
70024,24,Employee,AS,5,Administrative,CRA,HeHim,Bisexual,Caucasian,24,778,I501,102,2020-06-00,3,5,4,true,6,false,false,false,false,false,false,false,false,false,false,NotMeet,NotMeet
70025,25,Employee,EC,6,Operations,IRCC,NoAnswer,Heterosexual,Indigenous,25,778,I501,101,2020-06-00,1,3,1,false,3,false,false,false,false,false,false,false,false,false,false,NotMeet,NotMeet
70025,25,Employee,EC,6,Operations,IRCC,NoAnswer,Heterosexual,Indigenous,25,778,I501,102,2020-06-00,1,3,1,false,3,false,false,false,false,false,false,false,false,false,false,NotMeet,NotMeet
70026,26,Manager,LotsMore,6,Administrative,FIN,TheyThem,Heterosexual,Caucasian,26,778,I501,101,2020-06-00,4,6,4,true,9,false,true,true,false,false,false,false,false,false,false,Exceeded,Exceeded
70026,26,Manager,LotsMore,6,Administrative,FIN,TheyThem,Heterosexual,Caucasian,26,778,I501,102,2020-06-00,4,6,5,false,3,true,false,true,false,false,false,false,false,false,false,Meet,NotMeet
70027,27,SeniorLeader,FB,5,Research,TBS,TheyThem,Heterosexual,NoAnswer,27,778,I501,101,2020-06-00,3,5,3,true,9,false,true,false,false,false,false,false,false,false,false,Exceeded,Exceeded
70027,27,SeniorLeader,FB,5,Research,TBS,TheyThem,Heterosexual,NoAnswer,27,778,I501,102,2020-06-00,3,5,4,false,3,false,false,false,false,false,false,false,false,false,false,NotMeet,NotMeet
70028,28,Leader,PM,3,Science,CRA,TheyThem,Heterosexual,Caucasian,28,778,I501,101,2020-06-00,0,2,0,false,5,false,false,false,false,false,false,false,false,false,false,NotMeet,NotMeet
70028,28,Leader,PM,3,Science,CRA,TheyThem,Heterosexual,Caucasian,28,778,I501,102,2020-06-00,0,2,0,false,4,false,false,true,false,true,true,false,false,false,false,NotMeet,Exceeded
70029,29,Employee,IS,2,Finance,TC,SheHer,Heterosexual,Maui,29,778,I501,101,2020-06-00,0,2,0,true,9,false,false,true,false,false,true,false,false,false,false,Exceeded,NotMeet
70029,29,Employee,IS,2,Finance,TC,SheHer,Heterosexual,Maui,29,778,I501,102,2020-06-00,0,2,1,false,4,false,false,false,true,false,true,false,false,false,false,Meet,NotMeet
70030,30,Manager,IS,5,Operations,FIN,TheyThem,Bisexual,Asian,30,778,I501,101,2020-06-00,5,7,6,true,10,true,true,false,false,false,false,false,false,false,false,Exceeded,Meet
70030,30,Manager,IS,5,Operations,FIN,TheyThem,Bisexual,Asian,30,778,I501,102,2020-06-00,5,7,6,false,3,true,true,false,false,false,false,false,false,false,false,Exceeded,NotMeet
70031,31,Employee,CR,4,Audit,TC,SheHer,Heterosexual,Maui,31,778,I501,101,2020-06-00,3,5,3,false,3,false,false,false,false,false,false,false,false,false,false,NotMeet,NotMeet
70031,31,Employee,CR,4,Audit,TC,SheHer,Heterosexual,Maui,31,778,I501,102,2020-06-00,3,5,3,false,5,false,false,false,false,false,false,false,false,false,false,Meet,NotMeet
70032,32,Specialist,AS,5,Administrative,FIN,HeHim,Heterosexual,Caucasian,32,778,I501,101,2020-06-00,1,3,1,true,6,false,false,true,false,false,true,false,false,false,false,Exceeded,NotMeet
70032,32,Specialist,AS,5,Administrative,FIN,HeHim,Heterosexual,Caucasian,32,778,I501,102,2020-06-00,1,3,2,false,4,false,false,false,false,false,false,false,false,false,false,NotMeet,NotMeet
70033,33,SeniorLeader,CR,1,Research,PSC,SheHer,Heterosexual,NoAnswer,33,778,I501,101,2020-06-00,3,5,3,false,5,false,false,false,false,true,true,false,false,false,false,Exceeded,Exceeded
70033,33,SeniorLeader,CR,1,Research,PSC,SheHer,Heterosexual,NoAnswer,33,778,I501,102,2020-06-00,3,5,4,true,7,false,false,false,false,false,false,false,false,false,false,NotMeet,NotMeet
70034,34,SeniorLeader,CR,6,Finance,DFO,NoAnswer,NoAnswer,Maui,34,778,I501,101,2020-06-00,5,7,5,true,9,false,false,false,false,false,true,false,false,false,false,Meet,Exceeded
70034,34,SeniorLeader,CR,6,Finance,DFO,NoAnswer,NoAnswer,Maui,34,778,I501,102,2020-06-00,5,7,6,true,7,true,true,false,false,false,true,false,false,false,false,Exceeded,Exceeded
70035,35,Manager,PM,1,Legal,PS,NoAnswer,Heterosexual,Maui,35,778,I501,101,2020-06-00,2,5,2,true,6,false,true,false,false,false,false,false,false,false,false,NotMeet,Meet
70035,35,Manager,PM,1,Legal,PS,NoAnswer,Heterosexual,Maui,35,778,I501,102,2020-06-00,2,5,3,true,7,true,true,true,false,true,true,false,false,false,false,Meet,NotMeet
70036,36,SeniorLeader,PM,1,Administrative,PSC,NoAnswer,Heterosexual,Maui,36,778,I501,101,2020-06-00,0,2,0,true,7,false,false,false,false,false,false,false,false,false,false,Meet,Meet
70036,36,SeniorLeader,PM,1,Administrative,PSC,NoAnswer,Heterosexual,Maui,36,778,I501,102,2020-06-00,0,2,1,true,8,true,false,false,false,false,false,false,false,false,false,Meet,Exceeded
70037,37,Leader,EC,1,Security,ISED,TheyThem,NoAnswer,Caucasian,37,778,I501,101,2020-06-00,3,5,4,true,10,false,true,true,true,false,true,false,false,false,false,Exceeded,Meet
70037,37,Leader,EC,1,Security,ISED,TheyThem,NoAnswer,Caucasian,37,778,I501,102,2020-06-00,3,5,4,true,6,true,false,false,false,true,false,false,false,false,false,NotMeet,Exceeded
70038,38,Manager,FB,2,Science,PS,HeHim,NoAnswer,Caucasian,38,778,I501,101,2020-06-00,1,3,1,true,8,true,false,false,false,false,false,false,false,false,false,NotMeet,Meet
70038,38,Manager,FB,2,Science,PS,HeHim,NoAnswer,Caucasian,38,778,I501,102,2020-06-00,1,3,2,true,7,true,false,false,false,true,false,false,false,false,false,NotMeet,Meet
70039,39,Manager,PM,3,Administrative,IRCC,HeHim,Heterosexual,Caucasian,39,778,I501,101,2020-06-00,5,7,5,true,9,true,true,true,true,false,false,false,false,false,false,Exceeded,Exceeded
70039,39,Manager,PM,3,Administrative,IRCC,HeHim,Heterosexual,Caucasian,39,778,I501,102,2020-06-00,5,7,6,true,8,true,false,false,true,false,false,false,false,false,false,Exceeded,NotMeet
