id,group,level,pronouns,sexuality,ethnicity,offering,learning_product,module,date_stamp,current_skill,desired_skill,final_skill,recommend,rating,clear,entertaining,relevant,informative,useful,inclusive,easy,difficult,long,short,lo_1,lo_2
70001,PE,1,TheyThem,Homosexual,Maui,778,I501,101,2020-06-00,3,5,3,true,8,true,false,true,false,false,false,false,false,false,false,NotMeet,Meet
70001,PE,1,TheyThem,Homosexual,Maui,778,I501,102,2020-06-00,3,5,4,false,4,false,false,false,false,false,false,false,false,false,false,NotMeet,Meet
70002,IS,4,HeHim,Heterosexual,Asian,778,I501,101,2020-06-00,3,5,3,false,4,true,false,false,false,true,false,false,false,false,false,NotMeet,NotMeet
70002,IS,4,HeHim,Heterosexual,Asian,778,I501,102,2020-06-00,3,5,4,true,8,true,true,false,false,true,false,false,false,false,false,Exceeded,Meet
70003,PE,4,HeHim,Heterosexual,Maui,778,I501,101,2020-06-00,4,6,4,false,3,false,false,false,false,false,false,false,false,false,false,Meet,NotMeet
70003,PE,4,HeHim,Heterosexual,Maui,778,I501,102,2020-06-00,4,6,4,false,3,false,false,false,false,false,true,false,false,false,false,Meet,NotMeet
70004,IS,4,SheHer,Heterosexual,Asian,778,I501,101,2020-06-00,4,6,4,true,7,false,false,false,true,true,false,false,false,false,false,Exceeded,Exceeded
70004,IS,4,SheHer,Heterosexual,Asian,778,I501,102,2020-06-00,4,6,5,true,9,false,false,false,false,true,true,false,false,false,false,Exceeded,Exceeded
70005,EC,6,HeHim,Heterosexual,Caucasian,778,I501,101,2020-06-00,3,5,3,false,3,false,false,false,false,false,false,false,false,false,false,NotMeet,NotMeet
70005,EC,6,HeHim,Heterosexual,Caucasian,778,I501,102,2020-06-00,3,5,4,true,7,false,true,false,false,true,false,false,false,false,false,Exceeded,NotMeet
70006,FB,5,SheHer,Bisexual,Black,778,I501,101,2020-06-00,1,3,1,true,9,true,true,false,true,false,false,false,false,false,false,NotMeet,NotMeet
70006,FB,5,SheHer,Bisexual,Black,778,I501,102,2020-06-00,1,3,2,true,6,false,true,false,true,false,true,false,false,false,false,Meet,Meet
70007,CR,2,SheHer,Heterosexual,Asian,778,I501,101,2020-06-00,4,6,4,false,3,false,false,false,false,false,false,false,false,false,false,NotMeet,NotMeet
70007,CR,2,SheHer,Heterosexual,Asian,778,I501,102,2020-06-00,4,6,4,false,5,false,false,false,false,false,false,false,false,false,false,NotMeet,NotMeet
70008,LotsMore,3,TheyThem,Heterosexual,Asian,778,I501,101,2020-06-00,2,4,2,true,6,false,true,false,false,false,false,false,false,false,false,NotMeet,NotMeet
70008,LotsMore,3,TheyThem,Heterosexual,Asian,778,I501,102,2020-06-00,2,4,2,false,3,false,false,false,false,false,false,false,false,false,false,NotMeet,NotMeet
70009,PM,6,SheHer,Heterosexual,Asian,778,I501,101,2020-06-00,1,3,1,true,6,true,false,false,false,false,true,false,false,false,false,Exceeded,Exceeded
70009,PM,6,SheHer,Heterosexual,Asian,778,I501,102,2020-06-00,1,3,2,true,7,true,true,false,true,false,true,false,false,false,false,Exceeded,Meet
70010,EC,2,SheHer,Heterosexual,NoAnswer,778,I501,101,2020-06-00,0,5,0,true,9,true,false,false,true,true,true,false,false,false,false,Meet,Meet
70010,EC,2,SheHer,Heterosexual,NoAnswer,778,I501,102,2020-06-00,0,5,1,true,10,false,true,false,true,false,true,false,false,false,false,NotMeet,Meet
70011,FB,6,SheHer,Homosexual,Indigenous,778,I501,101,2020-06-00,5,7,5,true,7,false,false,false,false,false,false,false,false,false,false,NotMeet,Exceeded
70011,FB,6,SheHer,Homosexual,Indigenous,778,I501,102,2020-06-00,5,7,6,false,5,true,true,false,false,false,false,false,false,false,false,NotMeet,NotMeet
70012,IS,6,SheHer,Homosexual,Maui,778,I501,101,2020-06-00,4,6,4,true,6,true,true,false,true,true,true,false,false,false,false,Exceeded,Meet
70012,IS,6,SheHer,Homosexual,Maui,778,I501,102,2020-06-00,4,6,5,true,6,false,true,false,false,false,true,false,false,false,false,Exceeded,NotMeet
70013,LotsMore,2,SheHer,Heterosexual,Black,778,I501,101,2020-06-00,3,5,3,false,5,false,true,false,false,true,false,false,false,false,false,Exceeded,Meet
70013,LotsMore,2,SheHer,Heterosexual,Black,778,I501,102,2020-06-00,3,5,4,true,8,false,true,true,true,false,true,false,false,false,false,Exceeded,Exceeded
70014,AS,4,HeHim,Heterosexual,Maui,778,I501,101,2020-06-00,3,5,3,false,5,false,false,false,false,false,false,false,false,false,false,NotMeet,Exceeded
70014,AS,4,HeHim,Heterosexual,Maui,778,I501,102,2020-06-00,3,5,4,true,10,false,true,true,true,false,false,false,false,false,false,NotMeet,Exceeded
70015,FB,2,TheyThem,Bisexual,Maui,778,I501,101,2020-06-00,4,6,4,false,5,true,false,false,false,true,false,false,false,false,false,NotMeet,NotMeet
70015,FB,2,TheyThem,Bisexual,Maui,778,I501,102,2020-06-00,4,6,4,false,3,false,false,false,false,true,false,false,false,false,false,NotMeet,NotMeet
70016,FB,4,NoAnswer,Heterosexual,Asian,778,I501,101,2020-06-00,0,2,0,false,5,false,false,true,true,false,false,false,false,false,false,Exceeded,Exceeded
70016,FB,4,NoAnswer,Heterosexual,Asian,778,I501,102,2020-06-00,0,2,1,true,6,false,false,true,false,false,true,false,false,false,false,NotMeet,NotMeet
70017,PM,3,TheyThem,Heterosexual,Maui,778,I501,101,2020-06-00,3,5,3,true,6,false,false,false,true,true,false,false,false,false,false,NotMeet,NotMeet
70017,PM,3,TheyThem,Heterosexual,Maui,778,I501,102,2020-06-00,3,5,4,true,7,false,false,false,false,false,false,false,false,false,false,NotMeet,NotMeet
70018,EC,6,HeHim,Heterosexual,Maui,778,I501,101,2020-06-00,3,5,3,true,6,false,false,false,false,false,false,false,false,false,false,Exceeded,NotMeet
70018,EC,6,HeHim,Heterosexual,Maui,778,I501,102,2020-06-00,3,5,4,false,4,false,false,false,false,false,false,false,false,false,false,NotMeet,NotMeet
70019,EC,5,HeHim,Heterosexual,Maui,778,I501,101,2020-06-00,1,5,1,false,3,false,false,false,true,false,false,false,false,false,false,Meet,Meet
70019,EC,5,HeHim,Heterosexual,Maui,778,I501,102,2020-06-00,1,5,1,false,4,false,false,false,false,true,false,false,false,false,false,Meet,NotMeet
70020,IS,6,TheyThem,NoAnswer,Maui,778,I501,101,2020-06-00,0,2,0,false,5,false,false,false,false,false,false,false,false,false,false,NotMeet,NotMeet
70020,IS,6,TheyThem,NoAnswer,Maui,778,I501,102,2020-06-00,0,2,1,false,5,false,false,false,false,false,false,false,false,false,false,Meet,Meet
70021,FB,1,SheHer,Heterosexual,Maui,778,I501,101,2020-06-00,2,5,2,false,3,false,false,false,false,false,false,false,false,false,false,NotMeet,NotMeet
70021,FB,1,SheHer,Heterosexual,Maui,778,I501,102,2020-06-00,2,5,2,false,3,true,true,true,true,false,true,false,false,false,false,Exceeded,NotMeet
70022,PE,1,NoAnswer,Heterosexual,NoAnswer,778,I501,101,2020-06-00,1,3,1,true,9,false,true,true,true,true,false,false,false,false,false,NotMeet,NotMeet
70022,PE,1,NoAnswer,Heterosexual,NoAnswer,778,I501,102,2020-06-00,1,3,2,true,8,false,true,false,true,false,false,false,false,false,false,NotMeet,Exceeded
70023,PM,2,HeHim,Heterosexual,Indigenous,778,I501,101,2020-06-00,4,6,4,true,6,true,false,false,false,false,false,false,false,false,false,Meet,Exceeded
70023,PM,2,HeHim,Heterosexual,Indigenous,778,I501,102,2020-06-00,4,6,4,false,3,false,false,false,false,false,false,false,false,false,false,NotMeet,NotMeet
70024,LotsMore,4,SheHer,Homosexual,Caucasian,778,I501,101,2020-06-00,3,5,3,false,4,false,false,false,false,false,false,false,false,false,false,NotMeet,NotMeet
70024,LotsMore,4,SheHer,Homosexual,Caucasian,778,I501,102,2020-06-00,3,5,3,false,3,false,false,false,false,false,false,false,false,false,false,Meet,NotMeet
70025,PE,2,NoAnswer,Homosexual,Caucasian,778,I501,101,2020-06-00,4,6,4,false,4,true,false,false,true,false,true,false,false,false,false,Meet,Exceeded
70025,PE,2,NoAnswer,Homosexual,Caucasian,778,I501,102,2020-06-00,4,6,5,true,7,false,false,true,true,true,true,false,false,false,false,Exceeded,Exceeded
70026,CR,3,SheHer,Heterosexual,Asian,778,I501,101,2020-06-00,0,2,0,false,5,false,false,false,false,true,false,false,false,false,false,NotMeet,Exceeded
70026,CR,3,SheHer,Heterosexual,Asian,778,I501,102,2020-06-00,0,2,1,true,9,false,true,false,true,true,true,false,false,false,false,Meet,Exceeded
70027,IS,4,HeHim,Bisexual,Black,778,I501,101,2020-06-00,2,4,2,true,7,true,false,false,true,false,true,false,false,false,false,NotMeet,Exceeded
70027,IS,4,HeHim,Bisexual,Black,778,I501,102,2020-06-00,2,4,3,false,4,false,false,false,false,true,true,false,false,false,false,Exceeded,Exceeded
70028,LotsMore,4,NoAnswer,Heterosexual,Maui,778,I501,101,2020-06-00,5,8,5,true,8,true,false,false,false,false,true,false,false,false,false,Exceeded,Exceeded
70028,LotsMore,4,NoAnswer,Heterosexual,Maui,778,I501,102,2020-06-00,5,8,6,true,10,false,true,true,false,true,true,false,false,false,false,NotMeet,Exceeded
70029,LotsMore,5,TheyThem,Heterosexual,Black,778,I501,101,2020-06-00,6,8,6,true,9,false,false,true,true,false,true,false,false,false,false,Exceeded,Exceeded
70029,LotsMore,5,TheyThem,Heterosexual,Black,778,I501,102,2020-06-00,6,8,7,true,10,false,true,false,true,true,true,false,false,false,false,Exceeded,Meet
70030,AS,4,TheyThem,Heterosexual,Asian,778,I501,101,2020-06-00,5,7,5,false,5,false,false,false,true,true,false,false,false,false,false,NotMeet,NotMeet
70030,AS,4,TheyThem,Heterosexual,Asian,778,I501,102,2020-06-00,5,7,5,false,3,false,false,false,true,false,true,false,false,false,false,Exceeded,Meet
70031,IS,1,SheHer,Homosexual,NoAnswer,778,I501,101,2020-06-00,5,7,5,false,3,false,false,false,false,false,false,false,false,false,false,NotMeet,NotMeet
70031,IS,1,SheHer,Homosexual,NoAnswer,778,I501,102,2020-06-00,5,7,5,false,5,false,false,false,false,false,false,false,false,false,false,NotMeet,NotMeet
70032,LotsMore,5,TheyThem,Heterosexual,Indigenous,778,I501,101,2020-06-00,1,5,1,false,4,true,false,false,false,true,false,false,false,false,false,Exceeded,NotMeet
70032,LotsMore,5,TheyThem,Heterosexual,Indigenous,778,I501,102,2020-06-00,1,5,2,true,6,false,false,false,false,false,false,false,false,false,false,NotMeet,Meet
70033,PM,2,SheHer,NoAnswer,Caucasian,778,I501,101,2020-06-00,1,3,1,false,4,false,false,false,false,false,false,false,false,false,false,Exceeded,NotMeet
70033,PM,2,SheHer,NoAnswer,Caucasian,778,I501,102,2020-06-00,1,3,2,true,10,true,true,false,false,false,true,false,false,false,false,Exceeded,Exceeded
70034,AS,6,HeHim,Heterosexual,Black,778,I501,101,2020-06-00,4,6,4,false,5,false,false,false,true,false,false,false,false,false,false,NotMeet,NotMeet
